"channel","frequency"
0,851.0125
1,851.0375
2,851.0625
3,851.0875
4,851.1125
5,851.1375
6,851.1625
7,851.1875
8,851.2125
9,851.2375
10,851.2625
11,851.2875
12,851.3125
13,851.3375
14,851.3625
15,851.3875
16,851.4125
17,851.4375
18,851.4625
19,851.4875
20,851.5125
21,851.5375
22,851.5625
23,851.5875
24,851.6125
25,851.6375
26,851.6625
27,851.6875
28,851.7125
29,851.7375
30,851.7625
31,851.7875
32,851.8125
33,851.8375
34,851.8625
35,851.8875
36,851.9125
37,851.9375
38,851.9625
39,851.9875
40,852.0125
41,852.0375
42,852.0625
43,852.0875
44,852.1125
45,852.1375
46,852.1625
47,852.1875
48,852.2125
49,852.2375
50,852.2625
51,852.2875
52,852.3125
53,852.3375
54,852.3625
55,852.3875
56,852.4125
57,852.4375
58,852.4625
59,852.4875
60,852.5125
61,852.5375
62,852.5625
63,852.5875
64,852.6125
65,852.6375
66,852.6625
67,852.6875
68,852.7125
69,852.7375
70,852.7625
71,852.7875
72,852.8125
73,852.8375
74,852.8625
75,852.8875
76,852.9125
77,852.9375
78,852.9625
79,852.9875
80,853.0125
81,853.0375
82,853.0625
83,853.0875
84,853.1125
85,853.1375
86,853.1625
87,853.1875
88,853.2125
89,853.2375
90,853.2625
91,853.2875
92,853.3125
93,853.3375
94,853.3625
95,853.3875
96,853.4125
97,853.4375
98,853.4625
99,853.4875
100,853.5125
101,853.5375
102,853.5625
103,853.5875
104,853.6125
105,853.6375
106,853.6625
107,853.6875
108,853.7125
109,853.7375
110,853.7625
111,853.7875
112,853.8125
113,853.8375
114,853.8625
115,853.8875
116,853.9125
117,853.9375
118,853.9625
119,853.9875
120,854.0125
121,854.0375
122,854.0625
123,854.0875
124,854.1125
125,854.1375
126,854.1625
127,854.1875
128,854.2125
129,854.2375
130,854.2625
131,854.2875
132,854.3125
133,854.3375
134,854.3625
135,854.3875
136,854.4125
137,854.4375
138,854.4625
139,854.4875
140,854.5125
141,854.5375
142,854.5625
143,854.5875
144,854.6125
145,854.6375
146,854.6625
147,854.6875
148,854.7125
149,854.7375
150,854.7625
151,854.7875
152,854.8125
153,854.8375
154,854.8625
155,854.8875
156,854.9125
157,854.9375
158,854.9625
159,854.9875
160,855.0125
161,855.0375
162,855.0625
163,855.0875
164,855.1125
165,855.1375
166,855.1625
167,855.1875
168,855.2125
169,855.2375
170,855.2625
171,855.2875
172,855.3125
173,855.3375
174,855.3625
175,855.3875
176,855.4125
177,855.4375
178,855.4625
179,855.4875
180,855.5125
181,855.5375
182,855.5625
183,855.5875
184,855.6125
185,855.6375
186,855.6625
187,855.6875
188,855.7125
189,855.7375
190,855.7625
191,855.7875
192,855.8125
193,855.8375
194,855.8625
195,855.8875
196,855.9125
197,855.9375
198,855.9625
199,855.9875
200,856.0125
201,856.0375
202,856.0625
203,856.0875
204,856.1125
205,856.1375
206,856.1625
207,856.1875
208,856.2125
209,856.2375
210,856.2625
211,856.2875
212,856.3125
213,856.3375
214,856.3625
215,856.3875
216,856.4125
217,856.4375
218,856.4625
219,856.4875
220,856.5125
221,856.5375
222,856.5625
223,856.5875
224,856.6125
225,856.6375
226,856.6625
227,856.6875
228,856.7125
229,856.7375
230,856.7625
231,856.7875
232,856.8125
233,856.8375
234,856.8625
235,856.8875
236,856.9125
237,856.9375
238,856.9625
239,856.9875
240,857.0125
241,857.0375
242,857.0625
243,857.0875
244,857.1125
245,857.1375
246,857.1625
247,857.1875
248,857.2125
249,857.2375
250,857.2625
251,857.2875
252,857.3125
253,857.3375
254,857.3625
255,857.3875
256,857.4125
257,857.4375
258,857.4625
259,857.4875
260,857.5125
261,857.5375
262,857.5625
263,857.5875
264,857.6125
265,857.6375
266,857.6625
267,857.6875
268,857.7125
269,857.7375
270,857.7625
271,857.7875
272,857.8125
273,857.8375
274,857.8625
275,857.8875
276,857.9125
277,857.9375
278,857.9625
279,857.9875
280,858.0125
281,858.0375
282,858.0625
283,858.0875
284,858.1125
285,858.1375
286,858.1625
287,858.1875
288,858.2125
289,858.2375
290,858.2625
291,858.2875
292,858.3125
293,858.3375
294,858.3625
295,858.3875
296,858.4125
297,858.4375
298,858.4625
299,858.4875
300,858.5125
301,858.5375
302,858.5625
303,858.5875
304,858.6125
305,858.6375
306,858.6625
307,858.6875
308,858.7125
309,858.7375
310,858.7625
311,858.7875
312,858.8125
313,858.8375
314,858.8625
315,858.8875
316,858.9125
317,858.9375
318,858.9625
319,858.9875
320,859.0125
321,859.0375
322,859.0625
323,859.0875
324,859.1125
325,859.1375
326,859.1625
327,859.1875
328,859.2125
329,859.2375
330,859.2625
331,859.2875
332,859.3125
333,859.3375
334,859.3625
335,859.3875
336,859.4125
337,859.4375
